kohde;jasen;pvknro;sp;ASALUE;IKAL1;A1;A2;A3;A4;A5
50242;1;2;1;1.0;59;0;470;?;120;1.0
50253;2;1;2;2.0;51;570;350;40;80;1.0
50253;2;2;2;2.0;51;0;450;62;144;1.0
50254;1;1;1;1.0;53;0;480;110;0;1.0
50254;1;2;1;1.0;53;0;450;72;108;1.0
50258;2;1;1;1.0;62;0;540;0;0;2.0
50258;2;2;1;1.0;62;0;470;31;96;2.0
50266;1;1;1;1.0;32;0;700;0;90;1.0
50266;1;2;1;1.0;32;560;450;0;72;1.0
50267;1;1;1;2.0;74;0;390;0;0;1.0
50267;1;2;1;2.0;74;0;270;0;0;1.0
50287;1;1;1;3.0;69;0;445;70;100;2.0
50287;1;2;1;3.0;69;0;485;0;0;2.0
50291;1;1;2;3.0;60;0;485;70;60;1.0
50291;1;2;2;3.0;60;0;465;52;132;1.0
50306;1;1;2;1.0;38;400;450;50;0;1.0
50306;1;2;2;1.0;38;0;560;52;0;1.0
50310;1;1;1;1.0;50;0;480;50;0;2.0
50310;1;2;1;1.0;50;450;450;21;0;2.0
50311;1;1;2;3.0;67;0;655;30;0;1.0
50311;1;2;2;3.0;67;0;535;113;96;1.0
50312;2;1;1;3.0;64;0;485;100;80;1.0
50312;2;2;1;3.0;64;0;555;93;0;1.0
50315;1;1;2;1.0;47;0;520;50;0;2.0
50315;1;2;2;1.0;47;510;400;31;120;2.0
50316;1;1;2;3.0;28;0;655;0;0;1.0
50316;1;2;2;3.0;28;0;685;31;0;1.0
50319;1;1;2;3.0;54;0;535;70;0;0.0
50319;1;2;2;3.0;54;320;515;41;0;0.0
50327;2;1;1;2.0;44;70;630;0;100;1.0
50327;2;2;1;2.0;44;0;590;0;0;1.0
50330;2;1;1;2.0;57;0;480;40;0;1.0
50330;2;2;1;2.0;57;0;420;31;120;1.0
50342;2;1;2;1.0;73;0;440;70;0;1.0
50342;2;2;2;1.0;73;150;490;62;0;1.0
50347;2;1;1;3.0;47;0;855;0;80;1.0
50347;2;2;1;3.0;47;0;725;0;168;1.0
50348;1;1;2;1.0;43;0;610;0;80;2.0
50355;1;1;1;1.0;74;0;660;140;110;2.0
50355;1;2;1;1.0;74;0;550;196;0;2.0
50356;1;1;1;1.0;52;0;290;30;0;1.0
50356;1;2;1;1.0;52;0;670;21;0;1.0
50358;1;1;1;3.0;46;0;875;60;0;2.0
50358;1;2;1;3.0;46;500;515;175;0;2.0
50363;2;1;2;1.0;30;00:00;07:20;00:40;00:00;1.0
50363;2;2;2;1.0;30;00:00;09:40;00:10;00:00;1.0
50366;1;1;2;2.0;47;0;490;60;90;1.0
50366;1;2;2;2.0;47;0;510;0;132;1.0
50377;1;1;1;3.0;28;0;665;10;0;1.0
50377;1;2;1;3.0;28;0;595;0;0;1.0
50378;1;1;2;1.0;52;540;480;0;0;1.0
50378;1;2;2;1.0;52;590;500;0;0;1.0
50382;2;1;1;1.0;50;460;430;?;0;?
50382;2;2;1;1.0;50;0;440;31;120;?
50383;1;1;1;3.0;30;370;345;40;70;1.0
50383;1;2;1;3.0;30;0;705;0;144;1.0
50385;2;1;2;3.0;73;0;435;30;0;2.0
50385;2;2;2;3.0;73;0;565;93;108;2.0
50387;1;1;1;3.0;76;0;665;80;120;2.0
50387;1;2;1;3.0;76;0;645;196;120;2.0
50390;1;1;1;2.0;45;380;460;20;0;1.0
50390;1;2;1;2.0;45;0;610;0;120;1.0
50394;1;1;1;1.0;68;0;550;150;110;2.0
50394;1;2;1;1.0;68;0;510;52;0;2.0
50419;1;1;2;1.0;68;0;720;100;0;1.0
50419;1;2;2;1.0;68;0;620;93;144;1.0
50425;1;1;2;2.0;57;300;480;20;100;1.0
50425;1;2;2;2.0;57;0;600;0;96;1.0
50427;1;1;2;1.0;35;0;380;0;0;1.0
50427;1;2;2;1.0;35;150;470;0;0;1.0
50429;2;1;2;3.0;41;00:00;07:35;00:00;00:00;1.0
50429;2;2;2;3.0;41;00:00;11:05;00:00;00:00;1.0
50435;1;1;1;1.0;62;0;500;220;0;1.0
50435;1;2;1;1.0;62;0;580;134;0;1.0
50437;1;1;2;1.0;25;480;540;0;80;1.0
50437;1;2;2;1.0;25;0;670;0;96;1.0
50447;2;1;1;3.0;39;00:00;10:25;00:50;00:00;?
50447;2;2;1;3.0;39;08:00;08:25;01:12;01:48;?
50450;1;1;2;1.0;30;410;450;180;120;1.0
50466;1;1;2;2.0;50;00:00;09:20;02:50;01:50;1.0
50466;1;2;2;2.0;50;00:00;10:10;00:31;02:00;1.0
50470;2;1;1;3.0;67;0;535;0;0;2.0
50470;2;2;1;3.0;67;0;535;0;0;2.0
50478;1;1;1;1.0;45;0;570;60;0;2.0
50478;1;2;1;1.0;45;0;640;31;0;2.0
50497;1;1;1;3.0;53;40;685;0;90;2.0
50497;1;2;1;3.0;53;430;465;0;96;2.0
50512;1;1;1;1.0;67;0;410;20;0;1.0
50512;1;2;1;1.0;67;0;580;103;0;1.0
50518;1;1;1;3.0;49;490;625;0;100;2.0
50518;1;2;1;3.0;49;70;?;0;0;2.0
50520;1;1;2;1.0;57;0;370;10;90;1.0
50520;1;2;2;1.0;57;0;610;0;96;1.0
50530;1;1;1;1.0;57;0;340;300;90;0.0
50530;1;2;1;1.0;57;460;500;?;0;0.0
50541;1;1;1;3.0;61;0;575;10;120;2.0
50541;1;2;1;3.0;61;0;495;0;96;2.0
50543;2;1;1;3.0;44;370;445;30;0;1.0
50543;2;2;1;3.0;44;0;495;93;240;1.0
50550;2;1;1;1.0;52;130;600;60;80;0.0
50550;2;2;1;1.0;52;550;480;62;60;0.0
50552;1;1;2;1.0;53;0;540;70;80;1.0
50552;1;2;2;1.0;53;0;660;103;96;1.0
50555;1;1;1;1.0;50;00:00;06:00;00:00;01:20;2.0
50555;1;2;1;1.0;50;08:30;06:10;00:21;00:00;2.0
50560;1;1;2;3.0;22;60;445;0;0;1.0
50560;1;2;2;3.0;22;0;735;0;72;1.0
50563;2;1;1;1.0;83;0;630;70;0;?
50563;2;2;1;1.0;83;0;600;31;0;?
50569;1;1;1;1.0;62;0;650;80;90;1.0
50569;1;2;1;1.0;62;0;620;154;96;1.0
50584;2;1;2;1.0;42;530;520;0;0;1.0
50584;2;2;2;1.0;42;60;650;21;0;1.0
50590;2;1;1;1.0;84;0;250;240;0;1.0
50590;2;2;1;1.0;84;0;390;62;120;1.0
50591;2;1;1;1.0;46;760;410;30;0;1.0
50591;2;2;1;1.0;46;0;?;31;108;1.0
50597;1;1;1;1.0;39;430;400;0;110;1.0
50597;1;2;1;1.0;39;0;690;21;0;1.0
50600;1;1;2;2.0;53;460;460;90;0;1.0
50600;1;2;2;2.0;53;0;590;185;0;1.0
50602;2;1;2;1.0;84;0;450;100;0;2.0
50602;2;2;2;1.0;84;0;420;113;132;2.0
50605;2;1;1;1.0;32;0;390;0;0;1.0
50605;2;2;1;1.0;32;0;510;0;120;1.0
50608;1;1;1;1.0;52;0;510;110;0;1.0
50608;1;2;1;1.0;52;0;520;62;0;1.0
50612;2;1;2;1.0;45;0;540;0;110;1.0
50612;2;2;2;1.0;45;0;410;21;0;1.0
50616;1;1;1;2.0;64;0;610;10;120;1.0
50616;1;2;1;2.0;64;0;480;0;0;1.0
50617;2;1;2;2.0;25;360;540;0;0;1.0
50617;2;2;2;2.0;25;420;460;0;96;1.0
50631;2;1;2;3.0;73;00:00;07:55;00:20;01:40;2.0
50631;2;2;2;3.0;73;00:00;08:15;00:52;00:00;2.0
50636;1;1;2;1.0;58;130;620;40;90;1.0
50636;1;2;2;1.0;58;430;440;103;0;1.0
50640;2;1;1;1.0;38;0;540;40;0;1.0
50640;2;2;1;1.0;38;530;390;41;72;1.0
50644;1;1;1;1.0;70;0;540;320;0;1.0
50644;1;2;1;1.0;70;0;460;?;132;1.0
50645;1;1;2;3.0;29;0;395;0;130;1.0
50645;1;2;2;3.0;29;0;585;0;156;1.0
50654;1;1;2;1.0;74;0;470;180;130;1.0
50654;1;2;2;1.0;74;0;520;309;180;1.0
50655;2;1;1;3.0;57;0;435;0;0;1.0
50655;2;2;1;3.0;57;0;435;52;72;1.0
50659;1;1;1;3.0;53;510;425;70;110;2.0
50659;1;2;1;3.0;53;0;625;21;0;2.0
50667;1;1;1;1.0;48;0;410;20;0;2.0
50667;1;2;1;1.0;48;410;350;21;120;2.0
50671;1;1;2;2.0;52;00:00;10:00;00:20;02:00;1.0
50671;1;2;2;2.0;52;08:00;07:00;01:12;01:24;1.0
50673;2;1;2;1.0;64;510;380;80;0;1.0
50673;2;2;2;1.0;64;0;500;62;0;1.0
50683;2;1;1;2.0;36;570;300;0;0;1.0
50683;2;2;1;2.0;36;0;580;0;156;1.0
50693;1;1;1;2.0;20;180;600;0;0;1.0
50693;1;2;1;2.0;20;430;480;0;0;1.0
50697;1;1;2;1.0;51;330;270;20;100;1.0
50697;1;2;2;1.0;51;500;280;41;0;1.0
50726;2;1;2;1.0;62;0;480;90;0;?
50726;2;2;2;1.0;62;0;430;31;120;?
50731;1;1;2;2.0;61;00:00;09:50;00:00;00:00;2.0
50731;1;2;2;2.0;61;07:10;10:10;00:00;01:48;2.0
50734;2;1;2;1.0;64;420;470;110;0;2.0
50734;2;2;2;1.0;64;0;460;175;0;2.0
50740;1;1;2;2.0;61;320;450;30;0;1.0
50740;1;2;2;2.0;61;140;480;62;0;1.0
50756;2;1;1;1.0;29;0;590;20;70;1.0
50756;2;2;1;1.0;29;0;550;0;84;1.0
50763;2;1;2;1.0;68;0;550;120;0;1.0
50763;2;2;2;1.0;68;0;550;196;0;1.0
50764;1;1;2;1.0;32;460;550;40;70;1.0
50764;1;2;2;1.0;32;0;420;113;144;1.0
50766;1;1;1;1.0;80;0;540;20;0;120.0
50766;1;2;1;1.0;80;0;580;0;108;60.0
50768;2;1;2;3.0;37;310;455;10;0;1.0
50768;2;2;2;3.0;37;0;535;21;120;1.0
50769;2;1;2;2.0;25;0;520;40;0;?
50769;2;2;2;2.0;25;0;500;41;0;2.0
50787;1;1;1;1.0;63;0;620;0;0;2.0
50788;1;1;2;1.0;63;?;450;10;90;1.0
50788;1;2;2;1.0;63;0;480;31;0;1.0
50795;2;1;2;1.0;27;300;510;0;70;2.0
50795;2;2;2;1.0;27;0;560;41;0;2.0
50800;1;1;1;2.0;37;0;760;0;100;2.0
50800;1;2;1;2.0;37;630;560;0;108;2.0
50801;2;1;1;2.0;43;500;390;0;0;1.0
50801;2;2;1;2.0;43;0;620;124;0;1.0
50803;1;1;1;1.0;59;0;500;170;0;1.0
50803;1;2;1;1.0;59;0;590;144;0;1.0
50811;1;1;2;1.0;60;400;480;0;0;2.0
50811;1;2;2;1.0;60;0;620;52;84;2.0
50815;2;1;1;1.0;52;00:00;07:30;00:50;00:00;2.0
50815;2;2;1;1.0;52;00:00;08:10;01:12;00:00;2.0
50826;1;1;2;1.0;55;0;580;110;100;1.0
50826;1;2;2;1.0;55;0;570;93;108;1.0
50834;2;1;2;1.0;55;300;310;30;0;2.0
50834;2;2;2;1.0;55;400;410;52;0;2.0
50844;1;1;1;1.0;63;0;550;360;0;2.0
50844;1;2;1;1.0;63;0;480;371;0;2.0
50846;1;1;1;1.0;22;00:00;07:10;00:00;00:00;1.0
50846;1;2;1;1.0;22;00:00;09:40;00:00;01:36;1.0
50860;1;1;1;1.0;59;0;510;40;0;1.0
50860;1;2;1;1.0;59;0;530;52;0;1.0
50861;1;1;2;3.0;48;0;465;140;0;1.0
50861;1;2;2;3.0;48;440;485;52;0;1.0
50867;1;1;2;1.0;58;0;520;90;0;1.0
50867;1;2;2;1.0;58;300;460;21;108;1.0
50868;2;1;1;1.0;56;0;470;120;140;?
50868;2;2;1;1.0;56;0;480;41;144;?
50869;1;1;1;2.0;48;0;240;0;100;2.0
50869;1;2;1;2.0;48;420;510;0;96;2.0
50875;1;1;1;1.0;83;0;520;0;0;1.0
50875;1;2;1;1.0;83;0;550;10;0;1.0
50877;2;1;2;3.0;25;10:10;08:45;00:10;01:20;1.0
50877;2;2;2;3.0;25;00:00;09:15;00:00;00:00;1.0
50883;1;1;2;1.0;84;0;640;?;0;1.0
50883;1;2;2;1.0;84;0;660;52;0;1.0
50901;1;1;1;1.0;69;0;640;130;0;2.0
50901;1;2;1;1.0;69;0;510;165;0;2.0
50918;1;1;1;3.0;77;0;735;70;0;2.0
50918;1;2;1;3.0;77;0;675;?;168;2.0
50919;2;1;1;1.0;53;390;490;0;0;1.0
50919;2;2;1;1.0;53;0;460;93;96;1.0
50926;1;1;2;3.0;55;0;615;90;70;1.0
50926;1;2;2;3.0;55;0;525;41;0;1.0
50928;1;1;1;2.0;56;0;510;0;130;2.0
50928;1;2;1;2.0;56;0;570;0;144;2.0
50930;1;1;1;1.0;58;0;600;100;0;1.0
50930;1;2;1;1.0;58;120;?;124;0;1.0
50931;1;1;1;3.0;70;0;635;60;0;2.0
50931;1;2;1;3.0;70;0;635;62;168;2.0
50953;2;1;2;1.0;28;00:00;09:00;00:00;00:00;1.0
50953;2;2;2;1.0;28;07:40;08:10;00:00;00:00;1.0
50960;1;1;1;1.0;54;470;470;30;80;1.0
50960;1;2;1;1.0;54;0;730;134;0;1.0
50961;1;1;2;1.0;30;0;500;0;130;1.0
50961;1;2;2;1.0;30;0;380;31;0;1.0
50962;1;1;1;3.0;63;0;475;0;0;2.0
50962;1;2;1;3.0;63;0;525;82;0;2.0
50966;1;1;2;1.0;63;0;610;30;100;?
50966;1;2;2;1.0;63;450;380;0;0;?
50968;1;1;1;1.0;39;0;580;40;0;2.0
50968;1;2;1;1.0;39;500;410;31;0;2.0
50973;2;1;2;1.0;26;480;480;10;80;1.0
50973;2;2;2;1.0;26;170;610;124;72;1.0
50977;1;1;2;1.0;80;0;630;90;70;1.0
50977;1;2;2;1.0;80;0;710;62;96;1.0
50982;2;1;1;1.0;72;0;490;240;70;1.0
50982;2;2;1;1.0;72;0;510;185;0;1.0
50984;2;1;1;3.0;58;0;555;60;190;1.0
50984;2;2;1;3.0;58;480;515;72;0;1.0
50986;1;1;1;2.0;55;0;470;70;0;1.0
50986;1;2;1;2.0;55;0;480;93;0;1.0
50990;2;1;2;1.0;20;0;690;0;0;1.0
50990;2;2;2;1.0;20;0;730;41;60;1.0
51001;1;1;1;1.0;67;0;590;90;0;2.0
51001;1;2;1;1.0;67;0;550;82;156;2.0
51005;1;1;2;1.0;28;00:00;10:40;00:00;00:00;1.0
51005;1;2;2;1.0;28;00:00;09:40;00:00;00:00;1.0
51006;1;1;2;1.0;65;450;360;50;0;1.0
51006;1;2;2;1.0;65;0;590;72;120;1.0
51007;2;1;2;1.0;39;240;290;20;0;1.0
51007;2;2;2;1.0;39;0;570;62;180;1.0
51017;2;1;1;1.0;60;0;570;0;130;2.0
51017;2;2;1;1.0;60;450;430;21;144;2.0
51027;1;1;2;1.0;64;0;540;110;0;1.0
51027;1;2;2;1.0;64;0;560;52;0;1.0
51034;1;1;2;3.0;40;0;515;70;0;1.0
51034;1;2;2;3.0;40;0;445;175;144;1.0
51040;1;1;1;2.0;45;0;650;70;0;1.0
51040;1;2;1;2.0;45;660;510;72;0;1.0
51053;2;1;1;3.0;58;00:00;08:15;00:00;00:00;?
51053;2;2;1;3.0;58;00:00;05:25;01:02;02:36;?
51056;2;1;2;2.0;43;440;470;30;0;1.0
51056;2;2;2;2.0;43;0;590;62;96;1.0
51060;1;1;2;1.0;30;0;590;0;90;1.0
51060;1;2;2;1.0;30;240;430;62;0;1.0
51067;2;1;2;1.0;82;0;350;30;120;1.0
51067;2;2;2;1.0;82;0;540;103;0;1.0
51069;2;1;1;1.0;39;09:10;06:50;00:00;00:00;?
51069;2;2;1;1.0;39;00:00;09:20;00:21;03:00;?
51075;2;1;1;3.0;83;0;725;240;80;?
51075;2;2;1;3.0;83;?;635;247;0;?
51090;1;1;2;1.0;52;500;450;30;0;2.0
51090;1;2;2;1.0;52;0;530;0;0;2.0
51095;2;1;1;1.0;49;210;530;90;100;1.0
51095;2;2;1;1.0;49;350;510;10;0;1.0
51097;2;1;2;1.0;61;440;470;90;0;1.0
51097;2;2;2;1.0;61;0;610;0;144;1.0
51101;1;1;1;2.0;62;280;480;0;0;2.0
51101;1;2;1;2.0;62;110;540;0;96;2.0
51105;1;1;1;1.0;45;0;640;20;90;?
51105;1;2;1;1.0;45;480;510;0;0;?
51116;1;1;1;3.0;54;630;545;30;0;2.0
51116;1;2;1;3.0;54;340;595;0;0;2.0
51117;2;1;2;1.0;27;0;360;0;0;2.0
51117;2;2;2;1.0;27;0;350;0;156;2.0
51125;2;1;1;1.0;23;0;490;0;0;1.0
51125;2;2;1;1.0;23;0;540;0;0;1.0
51128;1;1;1;1.0;55;0;420;70;70;1.0
51128;1;2;1;1.0;55;0;300;247;0;1.0
51132;2;1;2;3.0;84;0;615;110;120;?
51132;2;2;2;3.0;84;0;555;103;132;2.0
51136;2;1;2;1.0;44;0;650;80;150;?
51136;2;2;2;1.0;44;1050;190;21;0;?
51137;1;1;2;1.0;48;0;410;100;110;1.0
51137;1;2;2;1.0;48;0;500;124;0;1.0
51144;1;1;1;1.0;64;0;500;20;0;1.0
51144;1;2;1;1.0;64;430;420;0;0;1.0
51146;2;1;2;1.0;26;0;500;0;100;1.0
51146;2;2;2;1.0;26;0;?;52;108;1.0
51148;2;1;2;2.0;46;01:00;06:40;01:00;00:00;2.0
51148;2;2;2;2.0;46;02:40;06:10;00:00;02:00;2.0
51152;1;1;1;1.0;24;0;640;50;0;1.0
51152;1;2;1;1.0;24;450;550;0;108;1.0
51157;1;1;1;1.0;53;510;370;110;0;1.0
51157;1;2;1;1.0;53;0;650;134;0;1.0
51182;2;1;2;1.0;57;0;540;30;0;1.0
51182;2;2;2;1.0;57;0;630;31;0;1.0
51190;1;1;2;1.0;57;0;560;0;0;1.0
51190;1;2;2;1.0;57;0;520;0;?;1.0
51191;2;1;1;1.0;48;600;430;0;80;2.0
51191;2;2;1;1.0;48;0;380;41;0;2.0
51192;2;1;1;1.0;62;08:30;07:40;00:00;01:10;2.0
51192;2;2;1;1.0;62;03:00;07:50;00:00;01:48;2.0
51194;1;1;2;1.0;47;460;450;40;90;1.0
51194;1;2;2;1.0;47;0;410;82;0;1.0
51196;1;1;1;1.0;68;0;690;0;0;?
51196;1;2;1;1.0;68;0;540;0;120;?
51199;1;1;2;2.0;33;0;520;0;0;1.0
51199;1;2;2;2.0;33;0;500;0;0;1.0
51212;1;1;1;1.0;75;0;540;30;0;2.0
51212;1;2;1;1.0;75;0;520;31;0;2.0
51217;1;1;2;1.0;60;0;590;0;70;2.0
51217;1;2;2;1.0;60;0;510;0;0;2.0
51218;1;1;1;1.0;45;0;680;30;0;1.0
51218;1;2;1;1.0;45;420;420;72;0;1.0
51219;2;1;2;1.0;59;0;470;10;0;1.0
51219;2;2;2;1.0;59;40;450;21;0;1.0
51224;1;1;2;1.0;30;120;600;0;0;1.0
51224;1;2;2;1.0;30;0;600;0;0;1.0
51227;2;2;1;1.0;35;0;720;72;0;1.0
51238;1;1;2;1.0;23;0;580;110;100;1.0
51238;1;2;2;1.0;23;0;590;31;144;1.0
51239;2;1;1;1.0;60;00:00;11:20;03:00;01:40;1.0
51239;2;2;1;1.0;60;00:00;09:50;01:43;03:36;1.0
51243;1;1;2;1.0;55;0;530;40;0;0.0
51243;1;2;2;1.0;55;0;290;41;0;0.0
51249;1;1;2;1.0;81;0;600;90;0;2.0
51249;1;2;2;1.0;81;0;640;124;96;2.0
51254;1;1;1;1.0;48;0;530;0;90;1.0
51254;1;2;1;1.0;48;500;460;0;132;1.0
51256;1;1;1;3.0;29;0;?;0;0;1.0
51256;1;2;1;3.0;29;550;525;0;168;1.0
51259;1;1;1;1.0;26;00:00;11:00;00:00;00:00;1.0
51259;1;2;1;1.0;26;08:00;09:40;00:00;00:00;1.0
51264;1;1;2;1.0;33;00:00;?;00:00;00:00;2.0
51264;1;2;2;1.0;33;08:00;07:50;00:00;01:24;2.0
51272;2;1;1;3.0;63;0;385;260;100;2.0
51272;2;2;1;3.0;63;0;635;134;204;2.0
51280;1;1;1;1.0;71;00:00;07:30;01:10;00:00;2.0
51280;1;2;1;1.0;71;00:00;07:20;01:22;02:48;2.0
51283;1;1;1;1.0;68;0;540;40;0;1.0
51283;1;2;1;1.0;68;0;600;206;0;1.0
51284;1;1;2;1.0;66;0;390;10;0;2.0
51284;1;2;2;1.0;66;0;540;93;?;2.0
51294;2;1;2;3.0;52;480;475;0;0;2.0
51294;2;2;2;3.0;52;300;445;10;96;2.0
51296;1;1;2;1.0;32;0;360;0;150;1.0
51296;1;2;2;1.0;32;0;780;41;0;1.0
51299;2;1;2;3.0;37;0;625;40;120;1.0
51299;2;2;2;3.0;37;450;445;0;108;1.0
51303;1;1;1;2.0;72;00:00;06:00;01:00;00:00;2.0
51303;1;2;1;2.0;72;00:00;08:30;00:52;00:00;2.0
51310;1;1;2;1.0;58;0;420;10;0;1.0
51310;1;2;2;1.0;58;0;420;72;0;1.0
51315;1;1;2;1.0;22;0;550;40;0;1.0
51315;1;2;2;1.0;22;0;530;0;84;1.0
51316;1;1;2;2.0;45;220;330;10;100;1.0
51316;1;2;2;2.0;45;290;460;0;120;1.0
51317;2;1;2;3.0;73;0;435;0;90;2.0
51341;2;1;2;1.0;41;0;500;0;0;1.0
51344;2;1;2;1.0;46;0;500;0;110;1.0
51344;2;2;2;1.0;46;440;450;41;0;1.0
51364;1;1;2;3.0;35;0;585;?;0;1.0
51364;1;2;2;3.0;35;0;725;62;96;1.0
51365;1;1;2;1.0;62;0;410;0;0;1.0
51365;1;2;2;1.0;62;0;730;0;144;1.0
51366;2;1;1;3.0;76;0;495;50;0;2.0
51366;2;2;1;3.0;76;0;495;52;0;2.0
51370;1;1;2;2.0;77;0;510;0;80;2.0
51370;1;2;2;2.0;77;0;510;124;0;2.0
51380;1;1;2;2.0;63;0;680;30;0;2.0
51380;1;2;2;2.0;63;0;550;21;0;2.0
51390;1;1;1;1.0;49;0;360;320;0;1.0
51390;1;2;1;1.0;49;0;390;474;0;1.0
51391;1;1;2;1.0;84;0;510;120;0;2.0
51391;1;2;2;1.0;84;0;440;144;0;2.0
51393;2;1;2;1.0;64;0;500;0;120;2.0
51393;2;2;2;1.0;64;0;500;0;0;2.0
51398;1;1;2;1.0;64;0;530;130;0;1.0
51398;1;2;2;1.0;64;0;480;82;144;1.0
